Dropout (1=Yes 0=No),Study Mode,Entry Year,Displaced Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0,1,,1,0,0,0,22.5,46.5,0,0,0,0,0,1,3,5,48,317.6205833,6,13,5,0,1,1
0,1,,1,100,,100,0,15,15,15,0,0,0,2,2,,,,,2,,3,,0
0,1,,0,50,100,23.08,,60,30,30,21,0,0,1,1,,,,,89,,1,,1
0,1,,1,0,0,0,,100.5,0,0,0,0,0,1,1,,,,,2,,0,,3
0,1,2020,0,85,84.21,85.71,93.02325581,60,51,68,24,27,0,3,3,39,178,2262.868733,46,107,26,3,2,1
0,1,2022,0,70,80,60,,60,42,42,24,18,0,1,1,56,396,4253.33375,96,144,35,2,2,1
0,1,2019,0,100,100,100,93.02325581,60,60,60,33,27,0,4,4,63,815,5125.770833,146,114,34,3,3,1
0,1,,0,100,100,100,,60,60,60,35,15,0,1,1,,,,,83,,3,,1
0,1,2015,1,18.75,0,24,15.78947368,48,9,9,0,0,0,3,5,17,367,1882.176017,26,66,14,0,1,1
0,1,2016,0,73.81,100,21.43,72.5,63,46.5,64.5,42,4.5,0,3,4,29,119,1594.696117,49,43,23,2,2,2
0,1,2018,0,86.05,66.67,91.18,45,64.5,55.5,55.5,9,13.5,0,4,5,16,42,736.02605,20,175,9,3,1,2
0,1,2019,1,86.96,100,70,100,69,60,60,39,21,0,3,4,9,44,419.3597667,11,10,6,3,1,2
0,1,,0,46.51,82.35,23.08,,64.5,30,30,21,0,0,1,1,,,,,126,,1,,2
0,1,2020,1,100,100,100,100,60,60,60,30,30,0,3,3,28,378,1608.388583,50,5,15,3,2,1
0,1,,1,100,,100,80,12,12,12,0,12,0,1,1,,,,,3,,3,,0
0,1,,0,0,,0,55,13.5,0,0,0,0,0,1,1,,,,,,,0,,0
0,1,,1,100,,100,100,18,18,18,0,0,0,2,2,,,,,,,3,,0
0,1,2019,1,70.97,53.85,83.33,57.14285714,46.5,33,33,10.5,13.5,0,2,3,10,43,683.5520833,17,55,5,2,1,1
1,1,,0,100,100,100,,60,60,60,30,30,0,1,1,,,,,71,,3,,1
0,1,2017,0,56.9,33.33,61.22,50,87,49.5,49.5,4.5,4.5,0,3,5,42,249,3724.45855,66,119,34,1,2,2
1,1,,1,,,,11.53846154,33,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2022,1,100,100,100,,60,60,60,18,15,0,1,1,127,725,9229.86945,224,143,83,3,3,1
0,1,2020,0,100,100,100,100,60,60,60,33,27,0,3,3,72,1877,5452.56905,123,98,64,3,3,1
0,1,2017,1,73.53,50,78.57,81.57894737,51,37.5,37.5,4.5,9,0,3,5,29,130,1341.098517,27,104,19,2,2,1
0,1,,0,92.5,85,100,,60,55.5,55.5,25.5,30,0,1,1,,,,,135,,3,,1
0,1,,1,100,100,100,100,60,60,60,15,30,0,1,2,,,,,42,,3,,1
0,1,,1,,,,23.80952381,33,0,0,0,0,0,1,1,,,,,,,,,1
0,1,,1,100,,100,70.58823529,15,15,15,0,0,0,2,2,,,,,4,,3,,0
0,1,2018,1,100,,100,77.77777778,12,12,12,0,12,0,4,4,,,,,42,,3,,0
0,1,,1,100,100,100,,54,54,60,27,27,0,1,1,,,,,50,,3,,1
0,1,2019,0,100,100,100,100,66,66,66,33,33,0,3,3,27,113,1738.309517,34,110,21,3,2,2
0,1,,1,100,,100,0,10,10,10,0,0,0,1,1,,,,,2,,3,,0
0,1,2020,1,100,100,100,90.90909091,60,60,60,30,30,0,3,3,48,365,4857.731733,117,196,35,3,2,1
0,1,,0,100,,100,50,12,12,12,0,0,0,2,2,,,,,,,3,,0
1,1,2021,1,100,100,100,100,60,60,60,30,30,0,2,2,35,165,2085.9347,50,137,20,3,2,1
0,1,,0,,,,0,12,0,0,0,0,0,1,1,,,,,,,,,0
0,1,2019,1,80,75,83.33,75,60,48,48,18,30,0,2,3,84,832,8050.32745,185,125,58,2,3,1
0,1,2019,1,100,100,100,56.52173913,42,42,42,12,0,0,2,3,18,145,1109.728717,27,47,15,3,1,1
0,1,2019,1,90.91,100,81.82,100,66,60,60,33,21,0,4,4,18,84,1241.729433,23,160,11,3,1,2
0,1,2019,1,84.21,100,60,100,57,48,48,34.5,13.5,0,3,4,18,153,1133.765533,25,46,6,3,1,1
0,1,,0,,,,,78,0,0,0,0,0,1,1,,,,,,,,,2
0,1,2018,1,91.3,100,88.24,85,69,63,63,18,13.5,0,4,5,37,255,2972.537267,59,111,32,3,2,2
0,1,2022,1,100,100,100,,60,60,60,22.5,19.5,0,1,1,67,302,4518.549367,132,51,27,3,3,1
0,1,2019,1,77.5,100,55,100,60,46.5,60,30,16.5,0,4,4,2,3,81.34593333,3,104,31,2,1,1
0,1,2021,0,100,100,100,100,60,60,60,18,24,0,2,2,48,294,3327.75365,85,159,29,3,2,1
0,1,2021,0,76.19,100,54.55,30,63,48,48,30,18,0,1,2,13,54,599.8144167,15,106,8,2,1,2
0,1,2019,0,89.19,80,100,40,55.5,49.5,49.5,24,25.5,0,3,4,24,145,1713.85815,39,122,24,3,2,1
0,1,2022,1,100,100,100,,60,60,60,18,15,0,1,1,30,677,2006.82825,51,103,14,3,2,1
0,1,2020,1,86.05,100,82.86,77.11864407,64.5,55.5,55.5,12,10.5,0,1,3,15,45,659.13705,15,178,10,3,1,2
0,1,2021,1,100,,100,71.42857143,12,12,12,0,12,0,4,4,2,28,355.8361167,9,31,,3,1,0
1,1,,1,,,,100,6,6,6,6,0,0,2,2,,,,,16,,,,0
0,1,2010,0,0,0,0,20,48,0,6.6,0,0,0,2,4,24,68,1225.614167,32,7,15,0,2,1
0,1,2018,1,90,100,87.1,100,60,54,54,13.5,9,0,5,5,6,19,233.1101167,7,111,3,3,1,1
0,1,2019,1,77.5,100,55,100,60,46.5,59,30,16.5,0,4,4,39,141,3133.736033,68,202,19,2,2,1
1,1,2022,1,100,100,100,,60,60,60,30,30,0,1,1,22,60,1277.688183,27,,5,3,2,1
0,1,2022,1,100,100,100,,61.5,61.5,67.5,33,28.5,0,1,2,,,,,66,,3,,2
0,1,2019,1,100,100,100,92.5,64.5,64.5,64.5,34.5,30,0,3,4,72,291,5186.5889,113,86,56,3,3,2
0,1,,0,,,,,39,13.5,13.5,9,4.5,0,1,4,42,200,2457.543383,54,,18,,2,1
0,1,2019,0,100,100,100,100,60,60,60,30,30,0,4,4,59,464,4159.697967,83,137,35,3,2,1
0,1,,1,100,100,100,,60,60,60,32.5,27.5,0,1,1,,,,,109,,3,,1
1,1,2022,0,30,20,40,,60,18,18,6,12,0,1,1,36,251,2369.432083,53,117,19,0,2,1
0,1,2022,1,100,100,100,,60,60,60,12,12,0,1,1,44,239,2466.721483,60,,31,3,2,1
0,1,2020,1,100,100,100,100,60,60,60,28.5,31.5,0,3,3,24,420,1935.618483,38,140,13,3,2,1
0,1,2021,1,77.5,85.71,68.42,100,60,46.5,46.5,27,19.5,0,2,2,20,149,1510.73655,41,114,13,2,1,1
0,1,2020,0,100,100,100,93.18181818,61.5,61.5,61.5,30,31.5,0,3,3,65,1205,4377.86195,128,124,31,3,3,2
0,1,2019,1,100,100,100,100,60,60,60,30,30,0,4,4,40,296,3120.48815,76,88,33,3,2,1
0,1,2013,1,42.5,35,50,100,60,25.5,25.5,10.5,15,0,2,3,42,348,3492.030883,106,131,35,1,2,1
0,1,,1,100,,100,76.8,12,12,12,0,12,0,1,1,,,,,1,,3,,0
0,1,2020,0,14.29,12,17.65,23.80952381,63,9,9,4.5,4.5,0,1,2,42,388,3246.852867,65,139,26,0,2,2
1,1,2022,1,10,20,0,,60,6,6,6,0,0,1,1,,,,,135,,0,,1
0,1,,0,100,,100,80,15,15,15,0,0,0,2,2,,,,,2,,3,,0
0,1,2019,0,80.49,100,27.27,100,61.5,49.5,49.5,45,4.5,0,4,4,29,124,1658.6353,42,1,16,3,2,2
0,1,2020,0,100,100,100,100,60,60,60,33,27,0,3,3,21,62,1061.574617,26,122,17,3,2,1
0,1,,1,0,,0,0,10,0,0,0,0,0,1,1,,,,,,,0,,0
0,1,2018,0,75.68,73.68,77.78,62.96296296,55.5,42,42,21,21,0,3,4,47,604,3835.9008,95,12,37,2,2,1
0,1,2019,1,100,100,100,100,42,42,46,30,12,0,4,4,31,282,2172.2109,62,8,19,3,2,1
0,1,2021,1,84.44,73.33,90,67.5,67.5,57,57,16.5,28.5,0,1,2,22,206,1269.086883,31,118,15,3,2,2
0,1,2018,1,29.63,0,53.33,74.07407407,40.5,12,12,0,12,0,2,3,40,346,3057.111767,74,79,34,0,2,1
0,1,2020,1,72.73,100,60,68.29268293,33,24,33.5,10.5,13.5,0,2,2,32,184,2547.275333,57,41,21,2,2,1
0,1,2022,1,32.5,58.33,21.43,,60,19.5,19.5,10.5,9,0,1,1,35,194,2305.1124,52,,30,0,2,1
0,1,2021,1,100,100,100,100,60,60,60,6,9,0,2,2,27,169,1468.302867,38,39,16,3,2,1
0,1,2019,0,93.02,100,86.96,100,64.5,60,60,30,30,0,4,4,28,221,1615.45275,40,133,17,3,2,2
0,1,2022,1,71.79,60,84.21,,58.5,42,42,18,24,0,1,2,,,,,132,,2,,1
0,1,,1,0,0,0,,60,0,0,0,0,0,1,1,,,,,,,0,,1
1,1,2016,1,0,,0,78.37837838,12,0,0,0,0,0,4,4,11,25,500.3638833,13,8,3,0,1,0
0,1,2019,1,55.36,73.08,40,80,84,46.5,52.5,28.5,18,0,2,4,20,315,1576.674483,31,147,12,1,1,2
0,1,2021,1,45,33.33,62.5,55,60,27,27,12,6,0,1,2,64,364,4920.13855,117,49,32,1,3,1
0,1,,0,100,100,100,,60,60,60,30,30,0,1,1,,,,,128,,3,,1
0,1,2022,0,45,75,32.14,,60,27,27,13.5,4.5,0,1,1,42,174,2728.55365,64,145,31,1,2,1
0,1,2020,1,100,100,100,100,60,60,60,28.5,31.5,0,3,3,35,131,2065.3443,51,124,19,3,2,1
0,1,2018,0,100,100,100,20,18,18,18,6,12,0,4,4,17,62,1056.856967,22,9,14,3,1,0
0,1,2022,1,100,100,100,,60,60,60,30,30,0,1,1,41,433,3649.704867,86,152,30,3,2,1
0,1,2022,1,100,100,100,,60,60,60,30,30,0,1,1,19,168,809.0712167,22,132,14,3,1,1
0,1,2015,1,100,,100,0,12,12,12,0,12,0,4,4,,,,,,,3,,0
0,1,,0,100,100,100,,60,60,60,24,36,0,1,1,,,,,55,,3,,1
0,1,2020,1,100,100,100,100,60,60,60,28.5,31.5,0,3,3,19,185,1115.55195,28,240,14,3,1,1
0,1,2021,1,0,,0,68,12,0,0,0,0,0,4,4,3,11,146.4396667,3,2,2,0,1,0
0,1,2022,0,100,100,100,,51,51,51,12,30,0,1,2,27,104,1515.207617,40,116,15,3,2,1
0,1,,0,83.2,92.31,73.33,,62.5,52,60,30,22,0,1,1,,,,,37,,3,,2
0,1,,0,100,100,100,,60,60,60,27,33,0,1,1,,,,,126,,3,,1
0,1,,1,90.1,83.33,100,,50.5,45.5,45.5,25,20.5,0,1,1,,,,,96,,3,,1
1,1,2017,1,36.84,100,0,100,57,21,21,21,0,0,4,4,4,13,274.6297,4,,3,0,1,1
0,1,2019,0,100,100,100,100,60,60,60,30,21,0,4,4,2,6,90.29798333,2,123,2,3,1,1
0,1,,1,0,0,0,,60,0,0,0,0,0,1,1,,,,,131,,0,,1
0,1,,0,76.92,100,61.29,,78,60,60,31.5,28.5,0,1,1,,,,,66,,2,,2
0,1,2019,0,93.02,100,87.5,93.18181818,64.5,60,60,28.5,31.5,0,4,4,38,310,2801.28925,58,94,15,3,2,2
0,0,2021,0,100,100,100,50,30,30,30,9,6,0,1,1,62,274,4205.76445,107,16,50,3,3,0
0,1,2020,0,100,100,100,100,60,60,60,33,27,0,3,3,27,215,1785.323,45,137,24,3,2,1
0,1,2020,0,100,100,100,100,60,60,60,28.5,31.5,0,3,3,68,1025,6219.4343,165,163,45,3,3,1
0,1,2019,0,23.68,28.57,17.65,7.5,57,13.5,13.5,9,4.5,0,2,3,14,87,990.3061,22,49,6,0,1,1
0,1,2012,1,100,,100,100,12,12,12,0,12,0,4,4,16,70,609.1101,17,9,13,3,1,0
0,1,2016,1,64.1,77.78,52.38,66.66666667,58.5,37.5,37.5,21,16.5,0,3,4,34,216,3091.603133,57,49,29,2,2,1
0,0,2021,1,0,0,0,30,51,0,0,0,0,0,2,2,27,115,1408.828167,39,51,13,0,2,1
0,1,2019,1,77.27,66.67,81.25,87.87878788,66,51,51,12,6,0,2,3,40,157,1808.7341,40,145,17,2,2,2
0,1,2019,0,100,100,100,100,42,42,52.5,25.5,16.5,0,4,4,45,998,2891.60325,95,30,30,3,2,1
0,0,2019,1,100,100,100,75,30,30,30,12,9,0,3,4,49,309,2574.448083,66,77,41,3,2,0
1,1,2022,0,8.33,0,9.8,,60,5,5,0,5,0,1,1,,,,,16,,0,,1
0,1,2021,0,100,100,100,100,60,60,60,16.5,10.5,0,2,2,3,9,138.6663,3,138,1,3,1,1
0,1,2022,0,72.5,44.44,80.65,,60,43.5,43.5,6,19.5,0,1,1,,,,,188,,2,,1
1,1,,1,25,100,0,100,24,6,6,6,0,0,2,2,,,,,86,,0,,0
0,1,,0,100,100,100,100,32.5,32.5,32.5,12.5,0,0,1,1,,,,,19,,3,,1
0,1,2019,1,58,87.5,30.77,100,75,43.5,60,31.5,12,0,4,4,1,1,45.29675,1,59,33,1,1,2
0,1,,1,0,,0,0,10,0,0,0,0,0,1,1,,,,,,,0,,0
0,1,2018,1,100,100,100,43.47826087,55.5,55.5,55.5,24,31.5,0,3,4,31,296,3494.772283,67,122,24,3,2,1
0,1,,1,13.04,100,0,39.53488372,34.5,4.5,4.5,4.5,0,0,1,1,,,,,13,,0,,1
0,1,,0,100,100,100,,60,60,60,21,24,0,1,1,,,,,94,,3,,1
0,1,2019,0,100,,100,87.5,9,9,9,0,0,0,4,4,1,,45.30921667,1,14,,3,1,0
0,1,2020,0,92.5,100,85.71,100,60,55.5,55.5,28.5,27,0,3,3,75,742,6194.667067,142,112,51,3,3,1
0,1,2020,0,75.76,100,60,48.71794872,49.5,37.5,37.5,19.5,9,0,2,3,18,93,824.9566167,25,117,16,2,1,1
0,1,2021,0,100,100,100,100,60,60,60,31.5,28.5,0,2,2,23,98,1440.0371,36,19,21,3,2,1
0,1,2022,0,100,100,100,,72,72,72,34.5,37.5,0,1,2,97,252,5800.7073,151,143,40,3,3,2
0,1,2020,1,100,100,100,100,60,60,60,30,30,0,3,3,10,25,559.2676167,12,101,4,3,1,1
0,1,2022,0,100,100,100,,60,60,60,30,30,0,1,1,36,156,2488.8913,57,123,22,3,2,1
0,1,2020,0,100,100,100,100,60,60,60,30,30,0,3,3,40,282,2460.641417,65,67,22,3,2,1
0,1,2019,1,100,100,100,100,46.5,46.5,59.5,30,16.5,0,4,4,21,110,1369.725033,35,108,10,3,2,1
0,1,2020,1,14.29,20.69,0,30.55555556,63,9,9,9,0,0,1,2,,,,,184,,0,,2
1,1,2022,1,52.5,71.43,42.31,,60,31.5,31.5,15,16.5,0,1,1,90,1028,6646.612083,199,115,59,1,3,1
1,1,2019,1,77.78,100,50,52.38095238,54,42,42,30,12,0,1,4,34,164,1846.878567,49,48,16,2,2,1
0,1,2019,1,72.5,45,100,82.35294118,60,43.5,43.5,13.5,30,0,2,3,69,452,5377.341767,119,4,53,2,3,1
0,1,2016,1,36.84,0,63.64,67.74193548,57,21,21,0,21,0,3,4,8,38,242.6893,13,3,2,0,1,1
0,1,,1,100,100,100,,60,60,69,30,30,0,1,1,,,,,92,,3,,1
1,1,,1,0,,0,100,15,0,0,0,0,0,1,1,,,,,,,0,,0
0,1,2020,0,100,100,100,100,60,60,60,28.5,31.5,0,3,3,48,320,3761.7688,83,103,43,3,2,1
0,1,2021,1,100,100,100,90,66,66,66,36,30,0,1,2,44,232,3789.7105,103,115,29,3,2,2
0,1,2022,1,93.02,100,89.29,,64.5,60,60,22.5,19.5,0,1,1,49,377,3687.456533,79,150,29,3,2,2
0,1,2019,0,79.49,100,60,92.5,58.5,46.5,47.16,28.5,18,0,3,4,46,280,3145.869567,90,90,25,2,2,1
0,1,2020,1,100,100,100,100,60,60,60,33,27,0,3,3,39,430,2981.356717,69,95,29,3,2,1
0,1,,1,35.48,100,0,22.5,46.5,16.5,16.5,16.5,0,0,1,1,,,,,10,,0,,1
0,1,2018,0,100,100,100,65,64.5,64.5,70.5,30,34.5,0,3,4,32,109,1907.968633,47,137,14,3,2,2
0,1,2019,1,100,100,100,100,60,60,60,30,30,0,4,4,2,2,92.28203333,2,80,33,3,1,1
0,1,2022,1,100,100,100,,60,60,60,9,12,0,1,1,61,244,3568.84325,97,114,36,3,3,1
0,1,2021,1,90,80,100,100,60,54,54,24,30,0,2,2,40,118,2029.470933,54,71,6,3,2,1
1,1,2011,0,0,,0,100,12,0,0,0,0,0,4,4,7,25,327.5928833,9,,5,0,1,0
0,1,2020,1,100,100,100,100,60,60,75.75,30,30,0,3,3,89,588,7445.0717,159,173,48,3,3,1
0,1,,0,100,100,100,,60,60,60,30,30,0,1,1,,,,,89,,3,,1
0,1,2022,1,100,100,100,,60,60,61,18,18,0,1,1,37,320,2241.561217,54,118,24,3,2,1
0,1,2021,1,70,60,80,100,60,42,42,18,24,0,2,2,,,,,137,,2,,1
0,1,,1,90,100,75,,50,45,45,30,15,0,1,1,,,,,32,,3,,1
1,1,2020,0,0,0,0,40,58.5,0,0,0,0,0,1,2,,,,,96,,0,,1
0,1,2018,1,46.15,0,66.67,100,32.5,15,15,0,15,0,4,4,20,61,751.20605,17,42,13,1,1,1
0,1,2021,1,73.17,66.67,82.35,57.5,61.5,45,45,24,21,0,1,2,63,418,5736.704017,124,150,38,2,3,2
0,1,,0,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,,1,100,,100,50,30,30,30,0,0,0,1,1,,,,,15,,3,,0
0,1,2019,0,90.63,100,72.73,100,48,43.5,60,31.5,12,0,4,4,41,436,3715.21205,76,3,31,3,2,1
1,1,2022,1,100,100,100,,60,60,60,21,21,0,1,1,,,,,172,,3,,1
0,0,2018,0,23.08,0,33.33,0,39,9,9,0,0,0,1,1,17,100,1107.547567,27,35,13,0,1,1
0,1,,1,100,,100,83.33333333,12,12,12,0,0,0,2,2,,,,,11,,3,,0
0,1,2020,1,69.23,100,40,73.68421053,58.5,40.5,40.5,28.5,12,0,2,3,51,493,3316.868617,73,92,25,2,2,1
0,1,2019,1,75.56,68,85,67.34693878,67.5,51,64.5,25.5,25.5,0,3,4,50,443,5138.65305,114,35,31,2,2,2
0,1,,1,100,100,100,100,30,30,30,5,0,0,2,2,,,,,189,,3,,0
0,1,2021,1,7.32,17.65,0,67.5,61.5,4.5,4.5,4.5,0,0,1,2,12,60,821.0398,16,,9,0,1,2
0,1,2020,1,100,100,100,100,60,60,64.33,30,30,0,3,3,69,414,7030.981133,140,136,52,3,3,1
0,1,2019,1,80.65,81.25,80,50,46.5,37.5,37.5,19.5,18,0,3,4,22,1059,2119.88965,32,51,18,3,2,1
0,1,,1,,,,,60,0,0,0,0,0,1,1,2,16,170.4357667,4,,2,,1,1
0,1,2019,1,100,100,100,100,60,60,60,30,30,0,3,4,25,154,1618.50695,31,125,16,3,2,1
0,1,2020,0,86.67,100,76,83.33333333,67.5,58.5,58.5,30,28.5,0,2,3,19,155,1127.84675,28,159,11,3,1,2
0,1,,0,100,,100,75.38461538,12,12,12,0,12,0,1,1,,,,,2,,3,,0
0,1,2018,1,92,100,89.47,75,75,69,69,18,4.5,0,4,5,13,38,637.9442167,14,80,4,3,1,2
0,1,2020,1,100,100,100,100,60,60,60,27,24,0,3,3,51,731,4339.433483,82,154,40,3,2,1
0,1,2019,1,100,100,100,100,46.5,46.5,60,34.5,12,0,4,4,42,224,2823.996317,71,78,19,3,2,1
1,1,2019,1,100,,100,0,4.5,4.5,4.5,0,4.5,0,4,4,,,,,,,3,,0
0,1,2020,0,83.33,100,65.22,100,72,60,60,37.5,22.5,0,3,3,60,801,4922.353483,112,133,38,3,2,2
1,1,2022,0,0,0,0,,60,0,0,0,0,0,1,1,1,5,45.24793333,1,,7,0,1,1
0,1,,1,100,100,100,93.02325581,60,60,60,33,13.5,0,2,2,,,,,,,3,,1
0,1,2021,0,100,100,100,100,60,60,60,30,30,0,2,2,39,364,3476.454917,70,123,21,3,2,1
0,1,2019,1,81.63,60.87,100,100,73.5,60,60,21,27,0,4,4,33,147,2378.522217,51,41,25,3,2,2
0,1,2021,0,90,0,100,100,60,54,54,0,9,0,2,2,1,5,58.12713333,1,,1,3,1,1
0,1,2021,0,100,100,100,100,60,60,60,18,24,0,2,2,57,775,5919.168517,122,116,39,3,2,1
0,1,2017,1,100,100,100,91.30434783,15,15,15,6,9,0,4,4,,,,,6,,3,,0
1,1,,1,0,,0,33.33333333,15,0,0,0,0,0,2,2,,,,,,,0,,0
1,0,2019,1,0,0,0,57.14285714,48,0,0,0,0,0,3,4,6,19,168.9431167,6,,5,0,1,1
0,1,2019,0,70.73,100,40,100,61.5,43.5,60,31.5,12,0,4,4,,,,,83,,2,,2
0,1,,1,76.47,100,42.86,100,51,39,39,30,9,0,2,2,,,,,100,,2,,1
0,1,2021,1,74.07,100,67.44,65,81,60,60,16.5,10.5,0,1,2,22,106,1062.15685,27,127,17,2,2,2
0,1,,1,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,,0,75,85.71,66.67,,80,60,60,30,30,0,1,1,,,,,144,,2,,2
0,1,2022,1,100,100,100,,60,60,60,9,12,0,1,1,41,370,2506.825567,78,124,32,3,2,1
1,1,2021,1,100,100,100,100,60,60,60,6,9,0,2,2,,,,,151,,3,,1
0,1,,0,100,100,100,,60,60,78,30,30,0,1,1,,,,,105,,3,,1
0,1,,0,100,,100,100,18,18,30,0,0,0,2,2,,,,,5,,3,,0
0,1,2018,1,85,85,85,92.5,60,51,57,25.5,25.5,0,3,4,,,,,138,,3,,1
0,1,,0,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,,1,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2017,1,100,,100,66.66666667,9,9,9,0,0,0,4,4,2,14,63.22466667,5,10,2,3,1,0
0,1,2022,1,60,100,42.86,,60,36,36,18,9,0,1,1,41,194,2482.922033,78,88,27,1,2,1
0,1,2017,1,59.26,71.43,46.15,45.23809524,40.5,24,24,15,9,0,2,4,80,862,6494.8448,135,7,44,1,3,1
0,1,,0,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2022,0,100,100,100,,60,60,60,18,15,0,1,1,39,128,2082.717583,49,107,26,3,2,1
0,1,2020,1,81.82,80.95,82.61,100,66,54,60,25.5,19.5,0,3,3,34,124,1544.402983,40,54,28,3,2,2
0,1,2018,1,37.5,66.67,20,10,48,18,18,12,6,0,2,2,7,114,621.3774,17,78,6,0,1,1
0,1,2020,0,75.61,58.33,100,78.26086957,61.5,46.5,46.5,21,25.5,0,2,3,12,34,482.52055,16,203,6,2,1,2
0,1,,0,0,,0,80,15,0,0,0,0,0,1,1,,,,,1,,0,,0
0,1,2020,0,100,100,100,90,66,66,66,31.5,30,0,2,3,13,45,594.1518,17,,9,3,1,2
0,1,,0,50,100,0,,60,30,30,30,0,0,1,1,,,,,88,,1,,1
0,1,2019,0,60.42,76.47,21.43,100,72,43.5,43.5,39,4.5,0,3,4,20,61,1075.862217,27,,13,2,1,2
1,1,,1,,,,100,12,12,12,12,0,0,2,2,,,,,44,,,,0
0,1,2017,1,76.92,100,40,23.52941176,39,30,30,24,6,0,3,3,15,66,622.0102,26,,12,2,1,1
0,1,2022,0,100,100,100,,60,60,60,9,6,0,1,1,3,8,136.4155167,3,126,16,3,1,1
0,1,2022,0,100,100,100,,60,60,60,30,30,0,1,1,60,301,4332.589217,99,109,40,3,2,1
0,1,,0,0,0,0,,60,0,0,0,0,0,1,1,2,6,45.19941667,2,13,2,0,1,1
0,0,2020,1,42.11,0,66.67,100,28.5,12,12,0,12,0,1,2,30,78,1424.524517,33,,18,1,2,0
0,1,2022,0,86.96,71.43,100,,69,60,60,22.5,19.5,0,1,1,79,730,6518.671783,160,44,58,3,3,2
0,1,2019,0,70,33.33,100,67.44186047,60,42,42,9,24,0,2,4,27,402,2237.7558,52,65,19,2,2,1
0,1,2022,1,100,100,100,,60,60,60,9,12,0,1,1,61,241,3320.296567,83,154,43,3,3,1
0,0,2020,1,100,100,100,0,30,30,30,18,12,0,1,1,38,202,2296.150717,49,,16,3,2,0
0,1,2019,0,100,100,100,100,66,66,66,39,27,0,4,4,3,13,138.5087667,4,2,1,3,1,2
0,1,2020,0,100,100,100,100,72,72,72,33,39,0,3,4,36,404,2881.119167,57,110,26,3,2,2
0,1,2018,1,60,80,40,100,60,36,54,24,12,0,4,4,5,12,238.8758333,6,80,1,1,1,1
0,1,2019,0,,,,100,60,48,48,16.5,31.5,0,3,4,,,,,,,,,1
0,1,2018,1,100,100,100,79.31034483,31.5,31.5,31.5,15,16.5,0,2,4,66,1520,6471.133283,182,49,51,3,3,1
0,1,2020,0,72.5,58.82,82.61,100,60,43.5,43.5,15,19.5,0,2,2,30,136,1926.393033,48,170,21,2,2,1
0,1,2022,1,100,100,100,,60,60,60,12,12,0,1,1,107,2466,7063.1037,182,,58,3,3,1
0,1,2021,1,100,100,100,68.96551724,46.5,46.5,46.5,24,22.5,0,1,4,62,510,5618.086667,134,93,41,3,3,1
0,1,2020,0,100,100,100,100,60,60,73.5,30,30,0,3,3,16,63,960.1472167,23,119,13,3,1,1
0,1,2022,1,100,100,100,,60,60,60,18,18,0,1,1,70,590,3890.093767,88,100,18,3,3,1
0,1,2019,1,100,100,100,100,60,60,60,33,21,0,4,4,26,131,1339.120817,34,117,21,3,2,1
0,1,2021,1,100,100,100,100,60,60,60,6,9,0,2,2,10,80,613.3518,16,30,7,3,1,1
0,1,2020,0,100,100,100,100,60,60,60,30,30,0,3,3,60,332,5901.888517,126,167,47,3,2,1
0,1,2022,0,50,100,28.57,,60,30,30,18,12,0,1,1,38,268,3400.245433,75,162,23,1,2,1
0,1,2022,1,50,50,50,,48,24,24,12,12,0,1,1,,,,,26,,1,,1
0,1,2022,1,100,100,100,,60,60,60,30,30,0,1,1,63,254,3628.799783,95,45,23,3,3,1
0,1,2020,1,66.67,25,100,28.57142857,54,36,36,6,30,0,1,2,41,501,3246.7163,60,112,28,2,2,1
0,1,2019,1,17.5,0,35,17.5,60,10.5,10.5,0,10.5,0,2,3,17,145,1526.18905,34,73,14,0,1,1
0,1,,0,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2019,0,70,100,40,93.02325581,60,42,60,30,12,0,4,4,53,166,2835.3211,65,61,37,2,2,1
0,1,2022,1,100,100,100,,60,60,60,30,30,0,1,1,70,375,6378.154417,144,137,49,3,3,1
0,1,2020,1,100,100,100,100,61.5,61.5,61.5,28.5,33,0,3,3,67,811,7818.848467,197,131,55,3,3,2
0,1,2020,1,100,100,100,100,46.5,46.5,46.5,28.5,18,0,4,4,59,351,5051.4103,121,9,32,3,2,1
0,1,2019,1,55.56,78.57,30.77,14.63414634,40.5,22.5,22.5,16.5,6,0,1,2,,,,,129,,1,,1
0,1,2021,0,67.5,50,85,100,60,40.5,40.5,15,25.5,0,2,2,18,326,1606.0024,40,106,15,2,1,1
