Dropout (1=Yes 0=No),Study Mode,Entry Year,Displaced Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0,1,,0,100,100,100,,60,60,60,22.5,37.5,0,1,1,,,,,,,3,,1
0,1,2019,1,90,80,100,100,60,54,60,24,30,0,4,4,26,201,1700.01465,34,117,19,3,2,1
0,1,2020,1,80.21,89.69,70,100,93.5,75,85,43.5,27,0,3,4,1,5,46.63146667,1,1,,3,1,3
0,1,2020,1,35.71,0,78.95,35,63,22.5,22.5,0,22.5,0,2,3,26,127,1369.34315,40,126,17,0,2,2
0,1,2022,1,50,66.67,42.86,,60,30,30,12,9,0,1,1,35,144,1559.87525,56,101,19,1,2,1
0,1,,0,91.23,100,84.38,,57,52,60,25,27,0,1,1,,,,,133,,3,,1
0,1,,0,71.43,100,50,,70,50,50,30,20,0,1,1,,,,,83,,2,,2
0,1,2018,0,80,100,0,92.85714286,45,36,54,36,0,0,3,4,,,,,18,,2,,1
1,1,,0,65,100,30,100,60,39,39,30,9,0,2,2,,,,,91,,2,,1
0,1,2022,0,100,100,100,,60,60,60,21,21,0,1,1,68,1323,4172.472317,116,161,45,3,3,1
0,1,2019,1,73.33,70,74.29,73.91304348,67.5,49.5,49.5,10.5,6,0,3,4,,,,,9,,2,,2
0,1,2018,1,80.95,66.67,100,100,52.5,42.5,60.5,20,22.5,0,4,4,,,,,169,,3,,1
0,0,2021,0,42.5,0,85,100,60,25.5,25.5,0,25.5,0,2,2,1,6,47.36306667,1,,1,1,1,1
0,1,2020,0,92.5,100,85,100,60,55.5,55.5,30,25.5,0,3,3,58,565,5155.655117,112,91,34,3,2,1
0,1,2022,0,100,100,100,,60,60,60,18,24,0,1,1,26,196,1820.177633,43,136,20,3,2,1
0,1,2021,1,100,100,100,100,60,60,60,16.5,10.5,0,2,2,42,741,3404.019633,73,161,33,3,2,1
0,1,,1,,,,,61.5,0,0,0,0,0,1,1,,,,,4,,,,2
